Model,Model Slug,Creator,License,"Context
 Window",Access Date on AA,"Artificial Analysis
 Intelligence Index",MMLU-Pro (Reasoning & Knowledge),GPQA Diamond (Scientific Reasoning),Humanity's Last Exam (Reasoning & Knowledge),LiveCodeBench (Coding),SciCode (Coding),HumanEval (Coding),MATH-500 (Quantitative Reasoning),AIME 2024 (Competition Math),Multilingual Index (Artificial Analysis),Chatbot Arena,IFBench,LCR,Terminal-Bench Hard,___-Bench Telecom,"Blended
 USD/1M Tokens","Median
 Tokens/s","P5
 Tokens/s","P25
 Tokens/s","P75
 Tokens/s","P95
 Tokens/s","Median
 First Chunk (s)","First Answer
 Token (s)","P5
 First Chunk (s)","P25
 First Chunk (s)","P75
 First Chunk (s)","P95
 First Chunk (s)","Total
 Response (s)","Reasoning
 Time (s)",Reasoning_TF,"Further
 Analysis",Release Date,Parameters,Known Active Parameters,Latency,token/s,Chinese,Notes,Unnamed: 49,input_tokens_epoch_gpqa,output_tokens_epoch_gpqa,epoch_gpqa,gpqa_epochs,cache_read_gpqa,cache_output_gpqa,reasoning tokens,gpqa_reasoning_in_output,total_tokens_?,Notes GPQA,inspect log,input tokens swe,output tokens swe,cache reads swe,cache write swe,cache_in_input,cache_in_output,reasoning swe,reasoning_in_output_swe,total,epoch_swe,swe_inspect_log,notes swe,Unnamed: 74,input tokens frontier,output tokens frontier,cache read tokens frontier,cache write tokens frontier,frontier accuracy,cache_read_cost,cache_write_cost,Notes.1,input tokens AIME,output tokens AIME,AIME_reasoning,reasoning_in_output,AIME_epochs,epoch_8_input,epoch_8_output,cache reads AIME,epoch_AIME,epoch_AIME_16,epoch_AIME_nosamp,model_graded_AIME,oneshot_AIME,grader_tokens_input,grader_tokens_output,notes,Inspect Log,HAL/GAIA Generalist Agent,HAL/GAIA Deep Research Scaffold,Unnamed: 105,"Input Price
USD/1M Tokens","Output Price
USD/1M Tokens",Benchmark Cost USD,Blended Price (3:1) USD/1M Tokens
GPT-5 (high) 08/01/2025,,OpenAI,Proprietary,,,6900.00%,87.10%,85.40%,26.50%,66.80%,42.90%,,99.40%,,,,,,,,,,,,,,,,,,,,,,,,08/01/2025,,,,,,,,411232.0,11000000.0,86.20%,8.0,5376,,10700000.0,True,,epoch specfiies 08-07 version ,,,,,,,,,,,,,,,127663.0,335870.0,49536.0,,60%,0.125,,,65016,5892015,5675200.0,True,8.0,,,,,,91.40%,91.40%,91.40%,612984,1862.0,2.0flash,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2F3D8aaFBLZwQcnWHYKwvnmq.eval,62.80%,,,1.25,10.0,7.3751775,3.4375
GPT-5 (medium) 08/01/2025,,OpenAI,Proprietary,,,6750.00%,86.70%,84.20%,23.50%,69.60%,41.10%,,99.10%,,,,,,,,,,,,,,,,,,,,,,,,08/01/2025,,,,,,,,410966.0,5940538.0,85.40%,8.0,2816,,5620000.0,True,,,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FYQCwJRoGbGAqNCQoaL6cjk.eval,349000000.0,9000000.0,161000000.0,0.0,True,True,7620000.0,True,,58.80%,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FknygsTpEGHyBFW4iSAWzn6.eval,,,135758.0,266342.0,54784.0,,15.27%,0.125,0.0,,64408,3490741,3280000.0,True,8.0,64408,3490741,,,,87.20%,,87.20%,270432,812.0,gemini 2.0flash,,,,,1.25,10.0,4.373489999999999,3.4375
o4-mini (high) 04/01/2025,,,Proprietary,200k,,70,83%,78%,18%,80%,47%,83%,99%,94%,,,,,,,,134.8,70.7,111.8,156.6,180.1,35.31,35.31,5.57,21.65,45.66,67.43,39.02,0.0,,ModelProviders,04/01/2025,,,,,,,,411125.0,13151435.0,79.60%,8.0,8448,,12600000.0,True,,,http://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2F9Sgsz5XCjscuZkexf7MX9c.eval,,,,,,,,,,,,,,,,,,,,,,65016,4.77E+06,4500000.0,True,8.0,,,,,,81.70%,,81.70%,315110,852.0,2.0flash,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FTVsxkJ8ZyfMVmVx88Qq3KN.eval,,,,1.1,4.4,2.6324397,1.9250000000000003
Claude 4.5 Sonnet (Reasoning) 10/01/2025,claude-4-5-sonnet-thinking,Anthropic,Proprietary,,10/25/25,62.7,0.714,0.834,0.173,0.714,0.447,,,,,,0.573,0.657,0.333,0.781,,60.813,,,,,,,,,,,,,True,,10/01/2025,,,,,,,,64084.0,706350.0,78.80%,1.0,,,285340.0,True,,20250929,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FLkVuUxvsHNzpcg3sUiH7f3.eval,,,,,,,,,,,,,,,,,,,,,,10313,874323,313196.0,True,8.0,,,,,,,,,,,,,,,,3.0,15.0,1.643223,6.0
o3-mini (high) 01/01/2025,,,Proprietary,200k,,66,80%,77%,12%,73%,40%,84%,99%,86%,,,,,,,,183.2,115.8,165.6,210.5,271.2,42.4,42.4,21.73,32.15,50.09,78.87,45.13,0.0,,ModelProviders,01/01/2025,,,,,,,,410883.0,12231480.0,77%,8.0,,,,,,,,,,,,,,,,,,,,,23715.0,213135.0,,,40%,,,,65016,4697771,,,8.0,,,,,,76.90%,,76.90%,507246,886.0,2.0flash,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FMjx6vYbgAb2DHXK8xcupX8.eval,,,,1.1,4.4,2.59271375,1.9250000000000003
Claude 3.7 Sonnet Thinking (Option 4) (AIME) 03/01/2025,,,Proprietary,200k,,57,84%,77%,10%,47%,40%,,95%,49%,,,,,,,,,,,,,,,,,,,,,True,ModelProviders,03/01/2025,,,,,,,,64050.0,1650000.0,76.80%,1.0,,,,,,assume thinking since reasoning tokens mentiond in inspect,,,,,,,,,,,,,,,,,,,,,,,10313,1.07E+06,,,1.0,,,,,,53.30%,,53.30%,42732,132.0,,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FdSuGgEbnQErengjEboPn62.eval,,,,3.0,15.0,16.080939,6.0
o1 12/01/2024,,,Proprietary,200k,,62,84%,75%,8%,68%,36%,87%,97%,72%,88%,,,,,,,64.9,29.9,48.7,74.1,82.2,44.43,44.43,32.67,39.73,52.08,100.52,52.14,0.0,,ModelProviders,12/01/2024,,,,,,,,51410.0,1258852.0,76.80%,1.0,,,,,,epoch uses o1-high,,,,,,,,,,,,,,,,,,,,,,,8127,487905,,,8.0,8127,487905,,,,73.30%,,73.30%,53772,114.0,,,,,,15.0,60.0,3.6745256250000002,26.25
DeepSeek R1 0528 (May '25) 06/01/2025,,DeepSeek,Open,128k,,,84.90%,81.30%,14.90%,77.00%,40.30%,,98.30%,,,,,,,,,,,,,,,,,,,,,,True,,06/01/2025,685.0,37.0,,,True,,,392072.0,16283583.0,76.30%,8.0,,,,,,,,108000000.0,7670000.0,97100000.0,0.0,True,True,6800000.0,True,,33.30%,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FH4X3AsrkcXMTQNKdrAgJe7.eval,,,,,,,,0.14,0.0,,63112,7631782,,,8.0,,,,,,66.40%,,66.40%,,,,,,,,0.5,2.15,2.0549859125,0.9125
DeepSeek R1 0528 (May '25) 09/01/2025,,DeepSeek,Open,128k,,,84.90%,81.30%,14.90%,77.00%,40.30%,,98.30%,,,,,,,,,,,,,,,,,,,,,,True,,09/01/2025,685.0,37.0,,,True,,,392072.0,16283583.0,76.30%,8.0,,,,,,,,108000000.0,7670000.0,97100000.0,0.0,True,True,6800000.0,True,,33.30%,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FH4X3AsrkcXMTQNKdrAgJe7.eval,,,,,,,,0.14,0.0,,63112,7631782,,,8.0,,,,,,66.40%,,66.40%,,,,,,,,0.46,0.74,0.709568775,0.53
GPT-5 mini (high) 08/01/2025,,OpenAI,Proprietary,,,6540.00%,83.70%,82.80%,19.70%,63.60%,39.20%,,,,,,,,,,,,,,,,,,,,,,,,True,,08/01/2025,,,,,,,,411296.0,11795093.0,75.00%,8.0,1792,,,,,epoch specivfeis 08-07 version,,335000000.0,3610000.0,148000000.0,,True,True,2270000.0,True,,59.20%,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FHGLcT8RytVK548aPQ73s7f.eval,,,209809.0,174720.0,92288.0,,30%,0.025,,,64825,2561819,,,8.0,64825,2561819,,,,77.80%,,77.80%,303248,880.0,2.0flash,,,,,0.25,2.0,0.6424805312499999,0.6875
